match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"T20","Queens Sports Club","Bulawayo","Bangladesh","bat","Zimbabwe","Bangladesh","20","6","168","7","15","21","21.2","134","9","11","12","20.4","2013","Shakib Al Hasan","Bangladesh"
"ODI","Queens Sports Club","Bulawayo","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","269","8","36","24","52.5","148","10","11","15","33.2","2013","Ziaur Rahman","Bangladesh"
"ODI","Queens Sports Club","Bulawayo","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","252","9","18","22","51.1","253","4","12","27","48.4","2013","SC Williams","Zimbabwe"
"ODI","Queens Sports Club","Bulawayo","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","247","9","12","21","51.5","251","3","13","29","48.1","2013","V Sibanda","Zimbabwe"
"Test","Harare Sports Club","undefined","Bangladesh","field","Zimbabwe","Bangladesh","undefined","6","389","10","13","25","153.4","134","10","6","17","54.2","2013","BRM Taylor","Zimbabwe"
"Test","Harare Sports Club","undefined","Zimbabwe","field","Zimbabwe","Bangladesh","undefined","6","391","10","14","43","114.1","282","10","18","27","96.2","2013","Mushfiqur Rahim","Bangladesh"
"Test","Marrara Cricket Ground, Darwin","Darwin","Australia","field","Bangladesh","Australia","undefined","6","97","10","15","6","43.1","407","7","23","44","119.3","2003","SR Waugh","Australia"
"Test","Multan Cricket Stadium","Multan","Bangladesh","bat","Bangladesh","Pakistan","undefined","6","281","10","27","32","101.3","175","10","11","23","55.3","2003","Inzamam-ul-Haq","Pakistan"
"Test","Bangabandhu National Stadium, Dhaka","Dhaka","Bangladesh","bat","Bangladesh","England","undefined","6","203","10","7","18","84.1","295","10","11","39","121.4","2003/04","SJ Harmison","England"
"Test","MA Aziz Stadium, Chittagong","Chattogram","Bangladesh","field","England","Bangladesh","undefined","6","326","10","25","39","137.3","152","10","7","14","63.1","2003/04","RL Johnson","England"
"Test","MA Aziz Stadium","Chattogram","New Zealand","bat","New Zealand","Bangladesh","undefined","6","545","6","40","60","155.2","182","10","11","24","72.1","2004/05","SP Fleming","New Zealand"
"Test","Bangabandhu National Stadium","Dhaka","India","field","Bangladesh","India","undefined","6","184","10","6","25","58.1","526","10","13","84","136.5","2004/05","IK Pathan","India"
"ODI","Bundaberg Rum Stadium, Cairns","Cairns","Australia","field","Bangladesh","Australia","50","6","105","10","9","9","35.2","107","2","14","11","24.5","2003","B Lee","Australia"
"ODI","Bundaberg Rum Stadium, Cairns","Cairns","Bangladesh","bat","Bangladesh","Australia","50","6","147","10","20","9","48.1","148","1","9","20","21.5","2003","DR Martyn","Australia"
"ODI","Marrara Cricket Ground, Darwin","Darwin","Australia","bat","Australia","Bangladesh","50","6","254","7","13","16","51","142","10","16","9","48.2","2003","RT Ponting","Australia"
"ODI","Multan Cricket Stadium","Multan","Pakistan","bat","Pakistan","Bangladesh","50","6","323","3","16","41","51.4","186","10","33","26","46.3","2003","Yasir Hameed","Pakistan"
